Pathway,NGenes,Direction,PValue,FDR
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,8,Down,5.028609910859731e-177,3.3892830799194586e-174
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Down,2.5765021037492845e-141,8.682812089635089e-139
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Down,7.537205798701776e-128,1.693358902774999e-125
REACTOME_PD1_SIGNALING,17,Down,3.675277659587484e-106,6.1928428564049106e-104
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Down,7.846586213451106e-96,1.057719821573209e-93
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Down,3.083073226763337e-69,3.463318924730815e-67
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,20,Down,1.3352238488136134e-59,1.2856298201433935e-57
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Down,2.2732629900419683e-45,1.9152240691103583e-43
REACTOME_TCR_SIGNALING,48,Down,2.0047590344832804e-39,1.5013417658241454e-37
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,84,Down,6.011937037699006e-38,4.0520455634091305e-36
REACTOME_INTERFERON_SIGNALING,137,Down,4.7352855654635653e-32,2.901438610111312e-30
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,61,Down,2.0454743725948647e-29,1.148874772607449e-27
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,8,Down,2.638534609927627e-29,1.3679787131470929e-27
REACTOME_ER_PHAGOSOME_PATHWAY,55,Down,5.721851763594278e-29,2.7546629204732454e-27
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,68,Down,1.4311351522241605e-26,6.430567283993895e-25
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,13,Down,6.564126437208145e-20,2.765138261673931e-18
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Down,3.4340293154943995e-19,1.361491622731309e-17
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,60,Down,5.994679812972633e-19,2.1405346192540052e-17
REACTOME_AMYLOIDS,15,Down,6.034148036472715e-19,2.1405346192540052e-17
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_,77,Down,2.9040215902770744e-16,9.786552759233742e-15
