Pathway,NGenes,Direction,PValue,FDR
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,27,Up,1.3784795219283575e-52,9.29095197779713e-50
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Up,4.644010878109389e-27,1.5650316659228641e-24
REACTOME_PD1_SIGNALING,17,Up,5.982764424710447e-18,1.3441277407516137e-15
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Up,3.04087409123856e-15,5.123872843736974e-13
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Up,1.855544062613519e-11,2.501273396403024e-9
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Up,1.8786521964401636e-10,2.110352634001117e-8
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,113,Up,2.7473534005845535e-9,2.645308845705699e-7
REACTOME_TCR_SIGNALING,48,Up,9.386579767560041e-9,7.908193454169334e-7
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,29,Up,1.3254380215841013e-8,9.926058072752046e-7
REACTOME_INTEGRIN_ALPHAIIB_BETA3_SIGNALING,23,Up,1.5522607478116236e-7,1.0462237440250344e-5
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,8,Up,8.343443616524365e-7,5.1122554523067475e-5
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE,24,Up,1.706926455591708e-6,9.587236925573426e-5
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,27,Up,2.7298348629916216e-6,1.415314382812579e-4
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Up,9.757737107642401e-6,4.697653436107842e-4
REACTOME_REGULATION_OF_IFNA_SIGNALING,12,Up,1.2802073983186689e-5,5.752398576445219e-4
REACTOME_REGULATION_OF_IFNG_SIGNALING,13,Up,3.3981432339858296e-5,0.0013817440251624848
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,61,Up,3.485111042694695e-5,0.0013817440251624848
REACTOME_SIGNALING_BY_RHO_GTPASES,95,Up,4.310290852411047e-5,0.0016139644636250254
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,72,Up,8.922875463318815e-5,0.0031652726643562534
REACTOME_MYOGENESIS,19,Up,1.1773865353830033e-4,0.003967792624240721
