Pathway,NGenes,Direction,PValue,FDR
REACTOME_TRYPTOPHAN_CATABOLISM,10,Up,7.963505238815484e-13,5.367402530961636e-10
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,49,Up,7.967545504437238e-12,2.6850628349953493e-9
REACTOME_IL_7_SIGNALING,10,Up,7.209942292415145e-11,1.619833701695936e-8
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Up,2.0099547012605616e-8,3.3867736716240462e-6
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS,8,Up,2.0786028167341996e-6,2.8019565969577013e-4
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Up,4.591391319711617e-6,5.157662915809383e-4
REACTOME_NOD1_2_SIGNALING_PATHWAY,26,Up,2.438728929347252e-5,0.0023481475691143542
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,41,Up,5.400772392422721e-5,0.004550150740616142
REACTOME_PD1_SIGNALING,17,Up,6.2258530422821e-5,0.00466247216722015
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,8,Up,7.656618591217315e-5,0.00516056093048047
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Up,1.1081444968025176e-4,0.006789903553135426
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE,10,Up,1.900688718393624e-4,0.010497126115753456
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY,11,Up,2.024668241910904e-4,0.010497126115753456
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,61,Up,4.871988228684944e-4,0.02345514332952609
REACTOME_REGULATION_OF_IFNG_SIGNALING,13,Up,0.0010216232446995015,0.044593469318606214
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,109,Up,0.0010585986781864976,0.044593469318606214
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Up,0.001327184373303902,0.052618956918048826
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY,15,Up,0.0014259700855193895,0.05339465764667047
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL,6,Up,0.001806636621161596,0.06408805698225872
REACTOME_SIGNALING_BY_HIPPO,19,Up,0.0029740553011032506,0.10022566364717955
