Pathway,NGenes,Direction,PValue,FDR
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Up,3.6662758330502566e-167,2.471069911475873e-164
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Up,2.072795040164302e-163,6.985319285353697e-161
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Up,3.204969021324588e-133,7.200497067909241e-131
REACTOME_PD1_SIGNALING,17,Up,1.2965994495050528e-125,2.184770072416014e-123
REACTOME_TCR_SIGNALING,48,Up,9.55642867978332e-67,1.2882065860347917e-64
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Up,2.9864772006541733e-56,3.354809388734855e-54
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,61,Up,5.4676294263457725e-33,5.26454604765293e-31
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,84,Up,1.0044457291154092e-31,8.462455267797322e-30
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Up,5.339039421770756e-29,3.998347300303877e-27
REACTOME_AMYLOIDS,15,Up,3.729600737540784e-19,2.5137508971024887e-17
REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS,12,Up,3.666185622971392e-16,2.2463719180751982e-14
REACTOME_P2Y_RECEPTORS,8,Up,1.4770796403881197e-10,8.296263980179939e-9
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,60,Up,1.3144418291778175e-8,6.425428443751122e-7
REACTOME_INTERFERON_SIGNALING,137,Up,1.3346587271886604e-8,6.425428443751122e-7
REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION,4,Up,1.484321367382299e-7,6.669550677437797e-6
REACTOME_SEMAPHORIN_INTERACTIONS,60,Up,2.9085016994314574e-7,1.2252063408855014e-5
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,75,Up,4.447891538270444e-7,1.7634581745848702e-5
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS,12,Up,5.498009197001568e-7,2.058698999321698e-5
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,473,Up,1.2641364260569108e-6,4.48435763769662e-5
REACTOME_SIGNALING_BY_ROBO_RECEPTOR,27,Up,1.95762744033836e-6,6.597204473940275e-5
