Pathway,NGenes,Direction,PValue,FDR
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,16,Up,3.971841707740286e-48,2.6770213110169526e-45
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,31,Up,1.30447095301788e-32,4.396067111670255e-30
REACTOME_DNA_STRAND_ELONGATION,29,Up,7.524478502197123e-27,1.6904995034936202e-24
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,7,Up,2.5650552419362693e-26,4.3221180826626135e-24
REACTOME_UNWINDING_OF_DNA,11,Up,6.31488606590209e-26,8.512466416836017e-24
REACTOME_G2_M_CHECKPOINTS,41,Up,2.2377278263605544e-24,2.4489917560033757e-22
REACTOME_G1_S_TRANSITION,100,Up,2.5434632480747224e-24,2.4489917560033757e-22
REACTOME_MITOTIC_G1_G1_S_PHASES,124,Up,1.2111785650118473e-23,9.113799048299945e-22
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,27,Up,1.2169761340459869e-23,9.113799048299945e-22
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION,5,Up,5.8137667651180505e-22,3.918478799689566e-20
REACTOME_CELL_CYCLE_MITOTIC,292,Up,4.515808392253896e-20,2.76695896034466e-18
REACTOME_CELL_CYCLE,337,Up,3.017617105485439e-19,1.6948949409143217e-17
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,28,Up,3.5879803994505593e-19,1.8602298378689824e-17
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE,13,Up,2.7131764557816098e-17,1.306200665140575e-15
REACTOME_INTEGRATION_OF_PROVIRUS,8,Up,1.2204512073410476e-16,5.4838940916524405e-15
REACTOME_G0_AND_EARLY_G1,23,Up,3.5104074331322802e-16,1.478759131206973e-14
REACTOME_PYRIMIDINE_METABOLISM,21,Up,1.0918952396466317e-15,4.329043479540175e-14
REACTOME_CELL_CYCLE_CHECKPOINTS,108,Up,2.7315459159095522e-15,9.994286432455906e-14
REACTOME_DNA_REPLICATION,177,Up,2.8173804483184305e-15,9.994286432455906e-14
REACTOME_CHROMOSOME_MAINTENANCE,68,Up,3.422340489500648e-15,1.1533287449617185e-13
