Pathway,NGenes,Direction,PValue,FDR
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Down,1.1778855711500561e-33,4.302435127847466e-31
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN,8,Up,1.3447711175106897e-33,4.302435127847466e-31
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,25,Up,1.9150304723356675e-33,4.302435127847466e-31
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA,9,Up,3.0298628360704505e-33,5.1053188787787095e-31
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP,9,Up,8.367052804543301e-31,1.127878718052437e-28
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Down,1.6401514094163187e-30,1.842436749910998e-28
REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA,10,Up,8.664255518994201e-30,8.342440314002988e-28
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1,10,Up,3.515907107493619e-27,2.9621517380633743e-25
REACTOME_PD1_SIGNALING,17,Down,2.4474812076663413e-25,1.832891482185682e-23
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION,11,Up,1.2869716946159892e-24,8.674189221711768e-23
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Down,3.2158869142001243e-17,1.970461618337167e-15
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Down,2.13465728435378e-14,1.1989658413787063e-12
REACTOME_DIABETES_PATHWAYS,113,Up,2.1722417332145806e-11,1.1262237909127903e-9
REACTOME_TRANSLATION,59,Up,3.4982384489309606e-10,1.684151938985334e-8
REACTOME_TCR_SIGNALING,48,Down,7.170449890334893e-10,3.2219221507238117e-8
REACTOME_UNFOLDED_PROTEIN_RESPONSE,74,Up,1.4441776386723467e-9,6.08359830290726e-8
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Down,1.413538365067442e-8,5.604263870914447e-7
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,84,Down,4.875637724192891e-8,1.8256554589477824e-6
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,61,Down,1.404432621384167e-7,4.982039930594361e-6
REACTOME_AMYLOIDS,15,Down,5.318425364499166e-6,1.792309347836219e-4
