Pathway,NGenes,Direction,PValue,FDR
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,4,Up,3.278753343479426e-87,2.209879753505133e-84
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Up,2.1930769514329793e-79,7.39066932632914e-77
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Up,2.4945268475373428e-76,5.60437031746723e-74
REACTOME_PD1_SIGNALING,17,Up,3.529835141486964e-58,5.947772213405534e-56
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Up,3.6150443189382306e-48,4.873079741928736e-46
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,8,Up,5.691487265259163e-43,6.393437361307793e-41
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Up,1.0825406254743364e-30,1.042331973671004e-28
REACTOME_AMYLOIDS,15,Up,1.6026262249355436e-29,1.3502125945081955e-27
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,84,Up,3.572757311953394e-26,2.6755982536184307e-24
REACTOME_TCR_SIGNALING,48,Up,9.144749090131338e-26,6.163560886748522e-24
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Up,2.2282423671684203e-21,1.3653048686104685e-19
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS,13,Up,1.2088018451545535e-17,6.789437030284742e-16
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,60,Up,4.885255956144129e-16,2.5328173188008792e-14
REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS,12,Up,3.1370721165378705e-15,1.510276147533232e-13
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,61,Up,8.156964645730628e-14,3.6651961141482955e-12
REACTOME_COMPLEMENT_CASCADE,22,Up,8.885028382205172e-14,3.742818206003929e-12
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,75,Up,1.911228188914198e-11,7.577457643106879e-10
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_,64,Up,7.612801150980707e-11,2.850571097644998e-9
REACTOME_INTERFERON_SIGNALING,137,Up,3.759843208027887e-10,1.3337549064267346e-8
REACTOME_COMMON_PATHWAY,7,Up,6.170784267753364e-10,2.0795542982328838e-8
