Pathway,NGenes,Direction,PValue,FDR
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,27,Up,1.2745382404348644e-61,8.590387740530987e-59
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Up,4.77126952507366e-22,1.6079178299498236e-19
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Up,4.982494106506473e-13,1.1194003425951208e-10
REACTOME_PD1_SIGNALING,17,Up,2.4752879454033804e-12,4.170860188004696e-10
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,113,Up,2.540485216653192e-10,3.424574072048503e-8
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Up,1.8032800552919163e-9,2.0256845954445858e-7
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,8,Up,2.8302124058468366e-8,2.7250902307725257e-6
REACTOME_TCR_SIGNALING,48,Up,1.7980576753556955e-7,1.5148635914871735e-5
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Up,5.312743799914691e-7,3.978654801269446e-5
REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION,4,Up,8.577604216218847e-7,5.781305241731503e-5
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Up,7.212962264363792e-5,0.00441957869652836
REACTOME_AMYLOIDS,15,Down,3.835574520475889e-4,0.02154314355667291
REACTOME_PEPTIDE_CHAIN_ELONGATION,3,Up,4.938502383401962e-4,0.025604235433945556
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,29,Up,0.0012803355609618382,0.061639012006305643
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,473,Up,0.0017227650299657935,0.07511832369243912
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,20,Up,0.0017832243013041927,0.07511832369243912
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,8,Up,0.0026086877320081778,0.10342679596314776
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS,13,Down,0.0056479701533820575,0.20449083431833814
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,60,Up,0.005854236631128116,0.20449083431833814
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,84,Up,0.006067977279475909,0.20449083431833814
