Pathway,NGenes,Direction,PValue,FDR
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Up,0,0
REACTOME_INTERFERON_SIGNALING,137,Up,1.654422620323628e-137,5.575404230490626e-135
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,62,Up,6.848092073382404e-88,1.5385380191532466e-85
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING,27,Up,1.3316812411026798e-69,2.2438828912580154e-67
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,234,Up,5.483470247358461e-57,7.391717893439206e-55
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS,56,Up,6.290594302858917e-34,7.066434266878184e-32
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,13,Up,2.0893069178106328e-32,2.0117040894348093e-30
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Up,1.8849970229134266e-31,1.588109991804562e-29
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION,18,Up,1.309926800787979e-22,9.809896263678865e-21
REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10,11,Up,1.2825098136671026e-21,8.644116144116272e-20
REACTOME_REGULATION_OF_IFNA_SIGNALING,12,Up,5.34430466405606e-18,3.2746012214307133e-16
REACTOME_PYRIMIDINE_CATABOLISM,9,Up,1.97437201839569e-15,1.1089389503322457e-13
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION,20,Up,2.122956258165732e-11,1.1006711676951563e-9
REACTOME_IMMUNE_SYSTEM,776,Up,5.533425847184327e-8,2.663949300715883e-6
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING,6,Up,2.7987810316520005e-7,1.2575856102222988e-5
REACTOME_PYRIMIDINE_METABOLISM,21,Up,1.672280204185953e-6,7.044480360133327e-5
REACTOME_INNATE_IMMUNE_SYSTEM,194,Up,3.3779772279056978e-6,1.3392686185932003e-4
REACTOME_IL_6_SIGNALING,10,Up,4.954404028744713e-4,0.01855149064096631
REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS,13,Up,5.667321080317437e-4,0.020104075832283963
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,11,Up,0.001051566502805809,0.035437791144555766
