Pathway,NGenes,Direction,PValue,FDR
REACTOME_GLYCOPROTEIN_HORMONES,3,Up,2.0877573792273226e-99,1.4071484735992154e-96
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS,4,Up,5.058889505203164e-74,1.7048457632534664e-71
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,20,Down,1.9868980787706413e-26,4.4638976836380406e-24
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,12,Down,2.1276574951521105e-23,3.585102879331306e-21
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,21,Down,3.849910205339928e-13,5.1896789567982234e-11
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,46,Down,9.667248467122901e-11,1.0859542444734724e-8
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING,11,Down,2.403246206727919e-10,2.3139827761923108e-8
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,53,Down,3.6821435316341553e-9,3.102205925401776e-7
REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0,47,Down,1.925093828915695e-8,1.4416813785435314e-6
REACTOME_RECYCLING_PATHWAY_OF_L1,16,Down,2.648969085643989e-7,1.785405163724049e-5
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS,10,Down,3.9245176167730335e-7,2.404658976095477e-5
REACTOME_TRANSLATION,59,Down,7.286088893962787e-7,4.0923532621090984e-5
REACTOME_GAP_JUNCTION_DEGRADATION,9,Down,4.470321715490979e-6,2.3176898740314767e-4
REACTOME_METAL_ION_SLC_TRANSPORTERS,17,Up,5.000465019316633e-5,0.0024073667307281505
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,78,Down,6.555064781032369e-5,0.002945409108277211
REACTOME_EGFR_DOWNREGULATION,19,Down,9.58373483530285e-5,0.003965378986520524
REACTOME_SIGNAL_TRANSDUCTION_BY_L1,26,Down,1.0001697740482035e-4,0.003965378986520524
REACTOME_MEMBRANE_TRAFFICKING,110,Down,3.5387997011179616e-4,0.013250838880852812
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Down,4.209533779648465e-4,0.014932767197279291
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX,13,Down,8.137219644490472e-4,0.02742243020193289
