Pathway,NGenes,Direction,PValue,FDR
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,12,Up,1.3930317566488341e-157,4.694517019906571e-155
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_,12,Up,1.3930317566488341e-157,4.694517019906571e-155
REACTOME_INTEGRIN_ALPHAIIB_BETA3_SIGNALING,23,Up,1.0874498523314934e-74,2.443137334904755e-72
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,27,Up,9.640304830002555e-62,1.6243913638554305e-59
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS,8,Up,5.987836498252763e-26,8.071603599644725e-24
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_,64,Up,6.016409181666307e-21,6.758432980738485e-19
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,72,Up,6.046168913123094e-18,5.8215969249213795e-16
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,75,Up,5.291899384366417e-17,4.458425231328706e-15
REACTOME_GLYCOPROTEIN_HORMONES,3,Up,5.4046338490382406e-9,4.0474702380575266e-7
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Down,1.2915753720746263e-7,8.705218007782981e-6
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS,4,Up,5.195425294228323e-7,3.183378771190808e-5
REACTOME_GLUCONEOGENESIS,24,Up,1.0378073698419997e-6,5.829018060612564e-5
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,168,Up,8.141573260181914e-6,4.2210925979712386e-4
REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS,35,Up,9.389703807320342e-6,4.3621245041357845e-4
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,4,Up,9.707992219886762e-6,4.3621245041357845e-4
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,40,Up,4.93869213399973e-5,0.0020804240614473862
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,8,Up,0.0023248238651215544,0.09217242853481927
REACTOME_GLUCOSE_METABOLISM,52,Up,0.0032472112446384417,0.12159002104923942
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Up,0.0034445092847249204,0.1221894346265577
REACTOME_SIGNALING_BY_ROBO_RECEPTOR,27,Up,0.005328985899337924,0.17958682480768806
