Pathway,NGenes,Direction,PValue,FDR
REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS,11,Up,1.8766459309684606e-27,1.2648593574727424e-24
REACTOME_GLYCOPROTEIN_HORMONES,3,Up,1.4133029002784334e-26,4.76283077393832e-24
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS,8,Up,3.7035491829127286e-25,8.320640497610596e-23
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Down,8.398661524651137e-21,1.4151744669037166e-18
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS,4,Up,4.025045282923211e-20,5.425761041380489e-18
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE,10,Down,1.7984702691260103e-11,2.020281602318218e-9
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT,35,Up,1.0775845988564163e-9,1.033428525436387e-7
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,4,Up,1.2266213951767205e-9,1.033428525436387e-7
REACTOME_SYNTHESIS_OF_PA,22,Up,2.8426962120989234e-6,2.128863607727416e-4
REACTOME_INTERFERON_SIGNALING,137,Down,5.557396600977684e-6,3.7456853090589594e-4
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,63,Up,8.565100340900546e-6,5.248070572515426e-4
REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS,35,Up,1.1076178036466705e-5,6.2211199971488e-4
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,8,Up,2.615214601261339e-5,0.0013558881855770327
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,40,Up,5.527768511287974e-5,0.0026612256975772105
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS,35,Up,4.412233211631628e-4,0.019825634564264782
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,234,Down,0.0029861381051794456,0.12579106768068415
REACTOME_COMPLEMENT_CASCADE,22,Up,0.01806450136756204,0.7162043483374597
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,70,Up,0.028422236068541037,0.991377776399088
REACTOME_REGULATION_OF_INSULIN_SECRETION,66,Down,0.029859602059136403,0.991377776399088
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,90,Down,0.07938993105578812,0.991377776399088
