Pathway,NGenes,Direction,PValue,FDR
REACTOME_CHOLESTEROL_BIOSYNTHESIS,20,Up,0,0
REACTOME_GLYCOPROTEIN_HORMONES,3,Up,4.201681820572453e-25,1.4159667735329168e-22
REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT,13,Up,8.314509760591008e-25,1.8679931928794465e-22
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS,4,Up,5.77772857201149e-19,9.735472643839361e-17
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS,393,Up,6.714531795381576e-18,9.051188860174365e-16
REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM,9,Up,3.6643746970225003e-16,4.1163142429886084e-14
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION,89,Up,1.8138764666799358e-12,1.7465039122032525e-10
REACTOME_ENDOGENOUS_STEROLS,10,Up,6.495440935916847e-12,5.472408988509944e-10
REACTOME_LIPOPROTEIN_METABOLISM,23,Up,4.510319190076725e-11,3.3777279267907917e-9
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY,15,Up,2.033828770733943e-7,1.3708005914746777e-5
REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM,149,Up,2.477086959124213e-7,1.5177787367724724e-5
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT,35,Up,5.009617171837786e-7,2.8137349781822232e-5
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,18,Up,3.2165984542468397e-6,1.667682583201823e-4
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE,33,Up,9.715482569255836e-4,0.04677310894056024
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC,23,Up,0.001174512901791898,0.052774779720515946
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS,8,Up,0.0022321915109666146,0.09403106739946863
REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS,46,Up,0.0092159214581555,0.36538418016451807
REACTOME_PROTEIN_FOLDING,46,Up,0.013030101297401559,0.4879049041360361
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Down,0.022131844467401376,0.7850980616330804
REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES,52,Up,0.06995452750935625,0.9669935434104487
