Pathway,NGenes,Direction,PValue,FDR
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,49,Up,2.5730279940390308e-40,1.7342208679823067e-37
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Down,9.276789996553286e-27,3.1262782288384575e-24
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,11,Up,6.964377185583248e-25,1.5646634076943697e-22
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS,13,Up,4.91613314733498e-24,8.283684353259442e-22
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Down,4.426001466093799e-23,5.966249976294441e-21
REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS,12,Up,2.152992032217415e-22,2.418527716190896e-20
REACTOME_PD1_SIGNALING,17,Down,2.823278448961781e-20,2.7184138208574867e-18
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Down,1.8074953924164177e-15,1.5228148681108319e-13
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,109,Up,1.3434928376946554e-13,1.0061268584513307e-11
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Down,1.5961259176636217e-10,1.075788868505281e-8
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,31,Up,3.0691696555292285e-8,1.8805639525697272e-6
REACTOME_TCR_SIGNALING,48,Down,8.507929698927023e-8,4.7786205142306775e-6
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS,174,Up,4.6937992406724666e-7,2.4335543755486482e-5
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION,5,Up,1.5527489132823437e-6,7.475376911087855e-5
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,61,Down,1.8419067316446587e-5,8.27630091419e-4
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,60,Up,3.112417385062251e-5,0.0013111058234574733
REACTOME_GPCR_LIGAND_BINDING,236,Up,1.1724950026651535e-4,0.0046485978340959615
REACTOME_SEMAPHORIN_INTERACTIONS,60,Up,1.393075180278096e-4,0.0052162926194857595
REACTOME_IL_RECEPTOR_SHC_SIGNALING,22,Up,0.004037867444084659,0.14323803459542422
REACTOME_CELL_CELL_COMMUNICATION,92,Up,0.012201818387330934,0.41120127965305253
