Pathway,NGenes,Direction,PValue,FDR
REACTOME_PEPTIDE_CHAIN_ELONGATION,3,Down,2.7842165862715128e-154,1.8765619791469998e-151
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,8,Down,6.49798917788277e-72,2.1898223529464935e-69
REACTOME_TRANSLATION,59,Down,6.564499679165492e-28,1.4748242612525138e-25
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,20,Down,2.2465356549132543e-26,3.785412578528833e-24
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,8,Down,1.8298094421308377e-15,2.4665831279923695e-13
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,60,Down,2.4381169232175235e-10,2.7388180104143513e-8
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,13,Down,2.9241648874792786e-8,2.815553048801477e-6
REACTOME_ER_PHAGOSOME_PATHWAY,55,Down,4.207298028168982e-8,3.5446485887323675e-6
REACTOME_GLYCOLYSIS,22,Down,6.754840604368215e-8,5.058625074826863e-6
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Down,1.3274585713680048e-7,8.947070771020354e-6
REACTOME_GLUCONEOGENESIS,24,Down,3.2028849843699856e-7,1.9624949813321547e-5
REACTOME_AMYLOIDS,15,Down,7.323733921216174e-7,4.1134972190830846e-5
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,19,Down,1.4341526825747612e-6,7.435530061964531e-5
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,68,Down,2.759574680799219e-6,1.3285380963276241e-4
REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS,26,Down,7.645297169060938e-5,0.003435286861298048
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION,13,Down,1.1456024086671652e-4,0.004825850146510434
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_,77,Down,1.2623115378577706e-4,0.00500469397950669
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_,64,Down,1.4394044139404526e-4,0.005389769861088139
REACTOME_METABOLISM_OF_PROTEINS,304,Down,1.809516448681596e-4,0.006419021507428398
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC,23,Down,2.1741812793632084e-4,0.007326990911454013
