Pathway,NGenes,Direction,PValue,FDR
REACTOME_THE_NLRP3_INFLAMMASOME,11,Up,2.779461927620038e-75,1.8733573392159057e-72
REACTOME_INFLAMMASOMES,16,Up,6.296352242684229e-50,2.1218707057845851e-47
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,41,Up,5.314729796320659e-17,1.1940426275733747e-14
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,63,Up,5.485803420260635e-4,0.09243578763139171
REACTOME_INNATE_IMMUNE_SYSTEM,194,Up,0.008237310868783286,0.9931846666887768
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,49,Down,0.051655869209719006,0.9931846666887768
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,109,Down,0.25918250699866624,0.9931846666887768
REACTOME_SMOOTH_MUSCLE_CONTRACTION,21,Down,0.31815542656371515,0.9931846666887768
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION,23,Down,0.32608310535847906,0.9931846666887768
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE,24,Down,0.35455396362045444,0.9931846666887768
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,29,Down,0.40611037296706065,0.9931846666887768
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_,64,Down,0.41785867799762144,0.9931846666887768
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS,174,Down,0.4233164722869659,0.9931846666887768
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,33,Down,0.42502845449576543,0.9931846666887768
REACTOME_DEVELOPMENTAL_BIOLOGY,304,Up,0.44123146519366985,0.9931846666887768
REACTOME_MUSCLE_CONTRACTION,36,Down,0.4639438281094135,0.9931846666887768
REACTOME_IMMUNE_SYSTEM,776,Up,0.5063035910059555,0.9931846666887768
REACTOME_GPCR_LIGAND_BINDING,236,Down,0.5244577766505791,0.9931846666887768
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,57,Down,0.5656557809420841,0.9931846666887768
REACTOME_SEMAPHORIN_INTERACTIONS,60,Down,0.5903830920538677,0.9931846666887768
