Pathway,NGenes,Direction,PValue,FDR
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL,6,Up,1.6223480359848535e-19,1.0934625762537912e-16
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI,17,Up,8.194544179917307e-14,2.7615613886321327e-11
REACTOME_P75NTR_SIGNALS_VIA_NFKB,9,Up,4.131792561996663e-13,9.282760622619169e-11
REACTOME_GLYCOLYSIS,22,Up,8.588668310951815e-12,1.3197068106538778e-9
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX,20,Up,1.1748131845583483e-11,1.3197068106538778e-9
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION,20,Up,1.1748131845583483e-11,1.3197068106538778e-9
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION,16,Up,1.1650297796175106e-9,1.1217572449460032e-7
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS,5,Up,1.814360246848947e-7,1.528598507970238e-5
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,49,Down,4.91789421456996e-5,0.003682956334022392
REACTOME_GLUCOSE_METABOLISM,52,Up,9.43777275433515e-5,0.006361058836421892
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION,13,Up,1.626968479597793e-4,0.009968879593171933
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS,56,Up,5.191651654552688e-4,0.029053329662929478
REACTOME_IL_RECEPTOR_SHC_SIGNALING,22,Up,5.603757946855834e-4,0.029053329662929478
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Up,6.388882793952343e-4,0.030757907165170566
REACTOME_THE_NLRP3_INFLAMMASOME,11,Down,7.863971803624783e-4,0.03533544663762069
REACTOME_SIGNALING_BY_NODAL,12,Up,0.00129199903431091,0.054425459320347085
REACTOME_NOD1_2_SIGNALING_PATHWAY,26,Up,0.004267434192841174,0.16919121446911478
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,109,Down,0.004565621687367943,0.1709571676269996
REACTOME_GLUCONEOGENESIS,24,Up,0.005057809677580862,0.17941914329944741
REACTOME_INFLAMMASOMES,16,Down,0.005983391366763412,0.201640289059927
