Pathway,NGenes,Direction,PValue,FDR
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,16,Up,1.4971098363075742e-261,1.009052029671305e-258
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,31,Up,3.011106415203326e-123,1.0147428619235208e-120
REACTOME_PYRIMIDINE_METABOLISM,21,Up,1.3204111044144132e-50,2.9665236145843817e-48
REACTOME_G1_S_TRANSITION,100,Up,1.1980117644625282e-38,2.01864982311936e-36
REACTOME_METABOLISM_OF_NUCLEOTIDES,61,Up,1.9618856838488533e-32,2.6446219018282543e-30
REACTOME_MITOTIC_G1_G1_S_PHASES,124,Up,2.3854041740509414e-29,2.6796040221838906e-27
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,17,Up,3.8539422979681524e-25,3.2469463860381686e-23
REACTOME_PHOSPHORYLATION_OF_THE_APC_C,17,Up,3.8539422979681524e-25,3.2469463860381686e-23
REACTOME_CELL_CYCLE_MITOTIC,292,Up,1.1316323451459425e-22,8.474668895870725e-21
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES,17,Up,2.3682087201650885e-22,1.59617267739127e-20
REACTOME_CELL_CYCLE,337,Up,6.669918330108016e-19,4.08684086772073e-17
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,18,Up,2.5162432764284545e-16,1.4132899735939819e-14
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,19,Up,2.222414440698681e-15,1.1522364100237777e-13
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,28,Up,1.0507225468066155e-14,5.058478546768993e-13
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,7,Up,1.60050912296952e-14,7.191620992543043e-13
REACTOME_DNA_REPLICATION,177,Up,2.4367083723917294e-12,1.026463401870016e-10
REACTOME_MITOTIC_PROMETAPHASE,80,Up,4.108040580239321e-12,1.6287172653419425e-10
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND,10,Up,5.084534250434907e-12,1.9038756026628483e-10
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,16,Up,9.212859699340775e-12,3.268140756502991e-10
REACTOME_MITOTIC_M_M_G1_PHASES,157,Up,1.8610807115359783e-11,5.977409892352414e-10
