Pathway,NGenes,Direction,PValue,FDR
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Up,0,0
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,62,Up,1.8411059756836568e-107,6.2045271380539236e-105
REACTOME_INTERFERON_SIGNALING,137,Up,1.3305966540513168e-106,2.9894071494352915e-104
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING,27,Up,4.545683019291267e-48,7.659475887505785e-46
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,234,Up,5.259277200919e-44,7.089505666838814e-42
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS,56,Up,8.521279589772584e-21,9.572237405844536e-19
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Up,4.6472937489207926e-10,4.474679981103735e-8
REACTOME_IL_6_SIGNALING,10,Up,1.3015512168222374e-06,1.096556900172735e-4
REACTOME_IMMUNE_SYSTEM,776,Up,4.317825035440861e-6,3.2335711932079335e-4
REACTOME_REGULATION_OF_IFNA_SIGNALING,12,Up,1.3285036085730867e-5,8.954114321782604e-4
REACTOME_REGULATION_OF_IFNG_SIGNALING,13,Up,3.252351161726341e-5,0.0019928042572759583
REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS,17,Up,4.1007022739482244e-4,0.023032277772009193
REACTOME_INNATE_IMMUNE_SYSTEM,194,Up,5.912916181883541e-4,0.030656196204534667
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,20,Up,0.0014158930769382918,0.06362079559042724
REACTOME_SIGNALING_BY_FGFR1_MUTANTS,20,Up,0.0014158930769382918,0.06362079559042724
REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS,13,Up,0.0016518524578034788,0.06958428478497154
REACTOME_PYRIMIDINE_CATABOLISM,9,Up,0.01669899848608476,0.6620661752718311
REACTOME_SIGNALING_BY_FGFR_MUTANTS,33,Up,0.02266400905041475,0.8486412277766412
REACTOME_SIGNALING_BY_NODAL,12,Up,0.10161645914633005,0.9741267044131882
REACTOME_PYRIMIDINE_METABOLISM,21,Up,0.16493428235423524,0.9741267044131882
