Pathway,NGenes,Direction,PValue,FDR
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,12,Up,2.564603675629906e-173,8.642714386872783e-171
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_,12,Up,2.564603675629906e-173,8.642714386872783e-171
REACTOME_INTEGRIN_ALPHAIIB_BETA3_SIGNALING,23,Up,5.464609497961411e-82,1.227715600541997e-79
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,27,Up,9.597431130436948e-68,1.6171671454786256e-65
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_,64,Up,6.681282759244936e-23,9.006369159462175e-21
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS,8,Up,4.148468317124344e-20,4.660112742903013e-18
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,72,Up,1.3248560135614973e-19,1.2756470759149275e-17
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,75,Up,1.4349071239111435e-18,1.2089092518951383e-16
REACTOME_GLYCOPROTEIN_HORMONES,3,Up,1.6155871694847176e-11,1.2098952802585551e-9
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS,4,Up,6.739759675171322e-9,4.542598021065471e-7
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Down,2.2017273611715775e-7,1.3490584012996757e-5
REACTOME_GLUCONEOGENESIS,24,Up,2.5494842110788146e-6,1.4149713828160584e-4
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,168,Up,2.7291732902980353e-6,1.4149713828160584e-4
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,4,Up,3.0611641518362584e-5,0.0014737318845268845
REACTOME_REGULATION_OF_WATER_BALANCE_BY_RENAL_AQUAPORINS,35,Up,1.1345205248957044e-4,0.005097778891864698
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,40,Up,4.079794021367842e-4,0.017186132315012034
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Up,0.003491449150685038,0.1384256898565715
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,8,Up,0.004103141948465442,0.15363987073698376
REACTOME_GLUCOSE_METABOLISM,52,Up,0.004564245026079284,0.16191058671460198
REACTOME_SIGNALING_BY_ROBO_RECEPTOR,27,Up,0.005389181729190994,0.1816154242737365
