Pathway,NGenes,Direction,PValue,FDR
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,12,Up,1.158481584994095e-202,7.808165882860201e-200
REACTOME_PIP3_ACTIVATES_AKT_SIGNALING,25,Up,4.363527034725925e-86,1.4705086107026369e-83
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING,34,Up,1.021209616695324e-67,2.2943176055088276e-65
REACTOME_PI3K_AKT_ACTIVATION,33,Up,2.699240599463168e-61,3.6385763280763507e-59
REACTOME_GAB1_SIGNALOSOME,33,Up,2.699240599463168e-61,3.6385763280763507e-59
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING,39,Up,6.027883126294709e-57,6.77132204520439e-55
REACTOME_PI_3K_CASCADE,42,Up,3.195586877499647e-45,3.0768936506210887e-43
REACTOME_GLYCOPROTEIN_HORMONES,3,Up,1.5066742245435754e-43,1.2693730341779624e-41
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE,50,Up,4.306130334976622e-36,3.2248131619713813e-34
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS,4,Up,1.195795588123612e-32,8.059662263953146e-31
REACTOME_G1_PHASE,32,Up,1.1851456116766718e-27,7.261710384273425e-26
REACTOME_SIGNALING_BY_ERBB4,75,Up,6.2557534497091756e-24,3.5136481875866534e-22
REACTOME_SIGNALING_BY_SCF_KIT,72,Up,3.502344659207271e-22,1.8158310002351543e-20
REACTOME_SIGNALING_BY_ERBB2,88,Up,3.5925528280998203e-19,1.7295575758137707e-17
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR,81,Up,7.04430545817037e-19,3.165241252537886e-17
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,85,Up,1.1535080690747216e-17,4.859152740977265e-16
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,86,Up,2.2148470020964673e-17,8.781216937723642e-16
REACTOME_SIGNALING_BY_FGFR,90,Up,2.548793250406977e-16,9.543814726523902e-15
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS,18,Up,4.1421721428030007e-16,1.4693810653943275e-14
REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21,50,Up,5.536571136085464e-16,1.8658244728608015e-14
