Pathway,NGenes,Direction,PValue,FDR
REACTOME_MITOTIC_PROMETAPHASE,80,Up,2.2210072248249158e-124,1.4969588695319933e-121
REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,15,Up,1.542890670403786e-90,5.199541559260759e-88
REACTOME_KINESINS,20,Up,5.820967702327808e-72,1.3077774104563142e-69
REACTOME_MITOTIC_M_M_G1_PHASES,157,Up,7.896352736706032e-62,1.3305354361349665e-59
REACTOME_DNA_REPLICATION,177,Up,6.246197615505497e-58,8.41987438570141e-56
REACTOME_CELL_CYCLE_MITOTIC,292,Up,2.1157206951738754e-57,2.3766595809119865e-55
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,16,Up,5.968380850402786e-54,5.746698133102111e-52
REACTOME_CELL_CYCLE,337,Up,1.378476587305375e-49,1.1613665248047784e-47
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,19,Up,4.704203719665138e-48,3.522925896727003e-46
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,19,Up,1.405293843159791e-45,9.471680502896992e-44
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,17,Up,2.0213623896137962e-41,1.2385438641815442e-39
REACTOME_PHOSPHORYLATION_OF_THE_APC_C,17,Up,1.2542164580999259e-40,7.044515772994584e-39
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,18,Up,5.394277353625807e-37,2.7967253356490724e-35
REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE,74,Up,6.040658535345134e-37,2.9081456091590145e-35
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,31,Up,4.746709482499478e-36,2.132854794136432e-34
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,9,Up,8.784093626809051e-28,3.700299440293313e-26
REACTOME_MITOTIC_G2_G2_M_PHASES,74,Up,1.3261674315433146e-22,5.257863816824671e-21
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,62,Up,4.8619862200097305e-19,1.820543729048088e-17
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,16,Up,1.5005379337713545e-16,5.322960880852068e-15
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION,10,Up,1.8011732508306394e-16,6.069953855299255e-15
