Pathway,NGenes,Direction,PValue,FDR
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,4,Down,6.754115659028817e-162,4.552273954185423e-159
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,8,Down,1.3202088583366633e-77,4.449103852594556e-75
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Down,2.2776302469082938e-33,5.117075954720633e-31
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Down,1.4717796319960473e-28,2.4799486799133398e-26
REACTOME_AMYLOIDS,15,Down,7.906537541482369e-28,1.0658012605918235e-25
REACTOME_COMPLEMENT_CASCADE,22,Down,3.393634781637025e-25,3.812183071372258e-23
REACTOME_PD1_SIGNALING,17,Down,6.742778455114708e-25,6.492332398210448e-23
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA,9,Up,2.06305153626558e-20,1.7381209193037512e-18
REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA,10,Up,2.0618719230792963e-18,1.5441129735060507e-16
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Down,3.2927020800084635e-16,2.2192812019257044e-14
REACTOME_ACTIVATION_OF_GENES_BY_ATF4,23,Up,5.66099865609957e-14,3.4686482674646455e-12
REACTOME_PERK_REGULATED_GENE_EXPRESSION,26,Up,2.502867298589475e-12,1.4057771327077552e-10
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Down,2.9819612590021196e-12,1.5460322219749452e-10
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,84,Down,2.0759950811018494e-10,9.994433461876047e-9
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_,64,Down,2.9739827022667596e-8,1.3363095608851973e-6
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,7,Up,1.0175290468734387e-7,4.28634110995436e-6
REACTOME_TCR_SIGNALING,48,Down,1.0970666538383042e-7,4.349546615805983e-6
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS,5,Down,1.7036181227551567e-6,6.37910341520542e-5
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,19,Down,5.465988415813796e-6,1.9389874696097362e-4
REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION,4,Down,5.8301522069607126e-06,1.9647612937457603e-4
