Pathway,NGenes,Direction,PValue,FDR
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Up,0,0
REACTOME_INTERFERON_SIGNALING,137,Up,1.7272987696696758e-137,5.820996853786808e-135
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,62,Up,4.219028577842004e-81,9.478750871551701e-79
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING,27,Up,6.753669813511008e-64,1.137993363576605e-61
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,234,Up,2.4557136994249053e-57,3.310302066824772e-55
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Up,2.08489842392885e-33,2.342035896213408e-31
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,13,Up,5.901386588850002e-32,5.682192229835574e-30
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS,56,Up,1.9840303955068765e-31,1.6715456082145435e-29
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION,18,Up,2.733149227738721e-22,2.0468250883287755e-20
REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10,11,Up,9.920540568593607e-22,6.686444343232091e-20
REACTOME_REGULATION_OF_IFNA_SIGNALING,12,Up,1.8260859180595908e-20,1.1188926443383311e-18
REACTOME_PYRIMIDINE_CATABOLISM,9,Up,1.3347699531900101e-14,7.496957903750557e-13
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION,20,Up,1.9138739141816727e-11,9.922700139680364e-10
REACTOME_IMMUNE_SYSTEM,776,Up,3.187991134597048e-8,1.5347900176560075e-6
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING,6,Up,3.134636987248407e-7,1.408496886270284e-5
REACTOME_PYRIMIDINE_METABOLISM,21,Up,3.561624174960212e-6,1.5003341837019894e-4
REACTOME_INNATE_IMMUNE_SYSTEM,194,Up,3.7941148925274322e-06,1.5042549632726408e-4
REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS,13,Up,1.3661642865103906e-4,0.00511552627282224
REACTOME_IL_6_SIGNALING,10,Up,4.262750389321292e-4,0.015121546117908162
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,11,Up,0.0016348616500110335,0.05509483760537184
