Pathway,NGenes,Direction,PValue,FDR
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Up,1.6258145331942212e-28,1.0957989953729052e-25
REACTOME_GLYCOPROTEIN_HORMONES,3,Up,2.0676623190212684e-12,6.968022015101675e-10
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS,4,Up,1.4778967569681666e-9,3.3203413806551473e-7
REACTOME_INTERFERON_SIGNALING,137,Up,1.7354003054564513e-7,2.9241495146941206e-5
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,8,Up,2.5176100052032927e-7,3.393738287014039e-5
REACTOME_COMPLEMENT_CASCADE,22,Up,1.0306030325739683e-6,1.1577107399247576e-4
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,4,Up,2.7943636212902185e-5,0.002690572972499439
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,234,Up,5.366529466935901e-4,0.04521301075893497
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,12,Down,0.006518250423675855,0.4393300785557527
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_,12,Down,0.006518250423675855,0.4393300785557527
REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS,11,Up,0.009759878684896518,0.5980143848745685
REACTOME_INTEGRIN_ALPHAIIB_BETA3_SIGNALING,23,Down,0.05487476477281457,0.9862268367339987
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1,9,Down,0.07637973566079835,0.9862268367339987
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,27,Down,0.078632873595389,0.9862268367339987
REACTOME_PROSTANOID_LIGAND_RECEPTORS,8,Up,0.09147570005720736,0.9862268367339987
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX,10,Down,0.09295717570047905,0.9862268367339987
REACTOME_COLLAGEN_FORMATION,47,Up,0.09431883375028798,0.9862268367339987
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT,35,Up,0.09872328740029362,0.9862268367339987
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,11,Down,0.10942857573578714,0.9862268367339987
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,12,Up,0.18368829215054622,0.9862268367339987
