Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
C133-MN-ADT-1_S1_L002_I1_001	99.99993837743625	37.0	8.0	36.36363636363637	47060684.0
C133-MN-ADT-1_S1_L002_R1_001	0.0	36.0	75.0	27.27272727272727	47060684.0
C133-MN-ADT-1_S1_L002_R2_001	1.8495092042759893	22.0	75.0	18.181818181818183	47060684.0
C133-MN-ADT-2_S2_L002_I1_001	99.99995364252428	0.0	8.0	36.36363636363637	62557332.0
C133-MN-ADT-2_S2_L002_R1_001	0.0	36.0	75.0	27.27272727272727	62557332.0
C133-MN-ADT-2_S2_L002_R2_001	1.8994959700582825	22.0	75.0	18.181818181818183	62557332.0
C133-MN-GEX-1_S4_L002_I1_001	99.99999369794408	39.0	10.0	36.36363636363637	555374316.0
C133-MN-GEX-1_S4_L002_I2_001	99.99999405806156	49.0	10.0	36.36363636363637	555374316.0
C133-MN-GEX-1_S4_L002_R1_001	43.6620722559068	47.0	28.0	0.0	555374316.0
C133-MN-GEX-1_S4_L002_R2_001	81.31563385924287	47.0	90.0	9.090909090909092	555374316.0
C133-MN-GEX-2_S5_L002_I1_001	99.99999338764502	39.0	10.0	36.36363636363637	529312176.0
C133-MN-GEX-2_S5_L002_I2_001	99.99999376549388	70.0	10.0	36.36363636363637	529312176.0
C133-MN-GEX-2_S5_L002_R1_001	43.94154474546299	47.0	28.0	0.0	529312176.0
C133-MN-GEX-2_S5_L002_R2_001	80.83687853150829	47.0	90.0	9.090909090909092	529312176.0
C133-MN-HTO-1_S3_L002_I1_001	99.9999257151121	37.0	8.0	36.36363636363637	37692727.0
C133-MN-HTO-1_S3_L002_R1_001	0.27556611961439614	37.0	75.0	27.27272727272727	37692727.0
C133-MN-HTO-1_S3_L002_R2_001	9.681181863200578	28.0	75.0	27.27272727272727	37692727.0
C133-MN-HTO-2_S4_L002_I1_001	99.99996065831553	62.0	8.0	36.36363636363637	73713163.0
C133-MN-HTO-2_S4_L002_R1_001	0.41067647265481355	37.0	75.0	27.27272727272727	73713163.0
C133-MN-HTO-2_S4_L002_R2_001	8.14396130906195	27.0	75.0	27.27272727272727	73713163.0
